Date,Culture,Variety,Nombre,Poids (kg),Section
2021-09-03,Poivron,Rouge,24,0.528,D
2021-09-03,Poivron,Twingo,24,0.246,D
2021-09-07,Poivron,Carmen,24,0.29,D
2021-09-07,Poivron,Rouge,24,0.75,D
2021-09-07,Poivron,Twingo,24,1.578,D
2021-09-07,Poivron,Escamillo,24,1.222,D
2021-09-07,Poivron,Hongrois rouge,24,1.808,D
2021-09-07,Poivron,Hongrois orange,24,0.57,D
2021-09-07,Poivron,Aura jaune,24,1.738,D
2021-09-07,Poivron,Cupid,24,2.882,D
2021-09-08,Poivron,Aura jaune,24,0.194,G
2021-09-08,Poivron,Cupid,24,1.652,G
2021-09-08,Poivron,Twingo,24,1.904,D
2021-09-08,Poivron,Carmen,24,0.115,D
2021-09-08,Poivron,Aura jaune,24,1.66,D
2021-09-08,Poivron,Escamillo,24,0.268,D
2021-09-08,Poivron,Aura orange,24,0.544,D
2021-09-08,Poivron,Rouge,24,0.566,D
2021-09-08,Poivron,Hongrois rouge,24,2.584,D
2021-09-08,Poivron,Cupid,24,1.748,D
2021-09-13,Poivron,Carmen,24,0.75,D
2021-09-13,Poivron,Twingo,24,1.048,D
2021-09-13,Poivron,Escamillo,24,0.108,D
2021-09-13,Poivron,Aura jaune,24,1.908,D
2021-09-13,Poivron,Aura orange,24,0.242,D
2021-09-13,Poivron,Cupid,24,2.108,D
2021-09-13,Poivron,Rouge,24,0.272,D
2021-09-13,Poivron,Hongrois orange,24,0.444,D
2021-09-13,Poivron,Hongrois rouge,24,1.342,D
2021-09-13,Poivron,Cupid,24,2.858,G
2021-09-13,Poivron,Aura,24,0.082,G
2021-09-15,Poivron,Carmen,24,2.87,D
2021-09-15,Poivron,Escamillo,24,0.292,D
2021-09-15,Poivron,Twingo,24,1.026,D
2021-09-15,Poivron,Rouge,24,0.698,D
2021-09-15,Poivron,Hongrois rouge,24,1.918,D
2021-09-15,Poivron,Hongrois orange,24,0.524,D
2021-09-15,Poivron,Cupid,24,1.778,D
